region_id,regional_inland_water_transport_count,regional_air_transport_count,regional_coastal_water_transport_count,regional_bus_transport_count,regional_railway_transport_count
PH150000000,,,,,
PH050000000,,,11.0,14.0,
PH040000000,,,8.0,64.0,
PH020000000,,,4.0,6.0,
PH160000000,,,,,
PH030000000,,,,18.0,
PH070000000,,,38.0,17.0,
PH140000000,,,,5.0,
PH110000000,,,4.0,5.0,
PH080000000,23.0,,,7.0,
PH010000000,,,,12.0,
PH170000000,3.0,,6.0,3.0,
PH133900000,3.0,22.0,69.0,75.0,
PH137400000,3.0,22.0,69.0,75.0,
PH137500000,3.0,22.0,69.0,75.0,
PH137600000,3.0,22.0,69.0,75.0,
PH100000000,,,,7.0,
PH120000000,,,,4.0,
PH060000000,,,5.0,5.0,
PH090000000,,,7.0,4.0,
